From src:'1'	To src:'2'
CHEMBL4105630	DB15490
CHEMBL4225088	DB16319
CHEMBL2219412	DB11369
CHEMBL4297315	DB13000
CHEMBL1655	DB00539
CHEMBL954	DB06735
CHEMBL5956963	DB19111
CHEMBL1774080	DB12998
CHEMBL2105738	DB12415
CHEMBL238804	DB11362
CHEMBL32838	DB02640
CHEMBL224867	DB04348
CHEMBL3707263	DB15973
CHEMBL2104967	DB12732
CHEMBL4650333	DB18072
CHEMBL180300	DB02715
CHEMBL217092	DB11805
CHEMBL203665	DB06367
CHEMBL451532	DB16859
CHEMBL1589793	DB11279
CHEMBL1232653	DB03147
CHEMBL2179724	DB18076
CHEMBL47183	DB18029
CHEMBL169046	DB04705
CHEMBL388978	DB02010
CHEMBL305178	DB01761
CHEMBL3334759	DB17273
CHEMBL5305690	DB03825
CHEMBL3407547	DB16166
CHEMBL3301618	DB12303
CHEMBL449317	DB04703
CHEMBL3125702	DB15299
CHEMBL1897738	DB09006
CHEMBL14823	DB17101
CHEMBL2107415	DB15821
CHEMBL1951714	DB11220
CHEMBL4297604	DB15385
CHEMBL941	DB00619
CHEMBL1187833	DB09076
CHEMBL1433361	DB13500
CHEMBL432600	DB03451
CHEMBL4297333	DB15259
CHEMBL734	DB00551
CHEMBL328944	DB03645
CHEMBL1697844	DB13422
CHEMBL4535757	DB15569
CHEMBL303934	DB03331
CHEMBL3707286	DB13490
CHEMBL1688243	DB12960
CHEMBL3663929	DB12036
CHEMBL225111	DB03696
CHEMBL4297608	DB05295
CHEMBL1374379	DB00868
CHEMBL3786673	DB15010
CHEMBL1184904	DB05626
CHEMBL1047	DB14002
CHEMBL2105755	DB11691
CHEMBL914	DB00950
CHEMBL2158051	DB16305
CHEMBL2040682	DB01410
CHEMBL207413	DB13640
CHEMBL3408947	DB18746
CHEMBL432359	DB03712
CHEMBL5314915	DB18514
CHEMBL2403318	DB14850
CHEMBL1096885	DB00385
CHEMBL301213	DB04609
CHEMBL443030	DB02804
CHEMBL350775	DB04851
CHEMBL3989407	DB06638
CHEMBL4297482	DB14792
CHEMBL1938400	DB12138
CHEMBL787	DB00471
CHEMBL3039515	DB12486
CHEMBL1233569	DB02505
CHEMBL2104415	DB11431
CHEMBL110674	DB01723
CHEMBL4297618	DB12934
CHEMBL151663	DB02009
CHEMBL331373	DB02109
CHEMBL1200747	DB06768
CHEMBL279597	DB00160
CHEMBL28885	DB03497
CHEMBL127214	DB04547
CHEMBL376408	DB17023
CHEMBL502620	DB11617
CHEMBL2040681	DB08823
CHEMBL4297647	DB12785
CHEMBL4297515	DB11927
CHEMBL450895	DB00646
CHEMBL3301624	DB11700
CHEMBL1204644	DB13191
CHEMBL119596	DB02249
CHEMBL1232411	DB01749
CHEMBL1232391	DB01692
CHEMBL1308	DB01213
CHEMBL34076	DB03826
CHEMBL576	DB00139
CHEMBL108778	DB02531
CHEMBL20489	DB18819
CHEMBL384200	DB12232
CHEMBL1908360	DB01590
CHEMBL449303	DB06748
CHEMBL4090674	DB12648
CHEMBL454801	DB09270
CHEMBL924	DB00399
CHEMBL4647387	DB17108
CHEMBL2104213	DB15832
CHEMBL361403	DB04170
CHEMBL1425	DB01033
CHEMBL1233331	DB03387
CHEMBL1201334	DB06825
CHEMBL262777	DB00512
CHEMBL4297441	DB05297
CHEMBL290744	DB03810
CHEMBL830	DB06243
CHEMBL120563	DB13245
CHEMBL397209	DB16754
CHEMBL3707299	DB13650
CHEMBL2106978	DB13620
CHEMBL444814	DB00155
CHEMBL227744	DB04223
CHEMBL303296	DB03308
CHEMBL14130	DB04417
CHEMBL42423	DB03407
CHEMBL34921	DB03293
CHEMBL28319	DB01726
CHEMBL1235533	DB02372
CHEMBL695	DB00347
CHEMBL38397	DB03847
CHEMBL276815	DB02057
CHEMBL1518	DB00550
CHEMBL323799	DB02493
CHEMBL1100	DB00617
CHEMBL1234283	DB03194
CHEMBL2104208	DB13572
CHEMBL211538	DB12810
CHEMBL222021	DB11268
CHEMBL2104089	DB13812
CHEMBL1236302	DB03673
CHEMBL1233316	DB02124
CHEMBL1330792	DB13268
CHEMBL610	DB04325
CHEMBL4298137	DB16704
CHEMBL274536	DB06523
CHEMBL1615778	DB15780
CHEMBL257158	DB03747
CHEMBL1400561	DB11868
CHEMBL1230702	DB03567
CHEMBL109	DB00313
CHEMBL1075733	DB13099
CHEMBL119521	DB04321
CHEMBL360356	DB07632
CHEMBL71611	DB06891
CHEMBL1871418	DB11456
CHEMBL1593874	DB15480
CHEMBL123978	DB03073
CHEMBL1236909	DB04436
CHEMBL3251336	DB04627
CHEMBL917	DB00322
CHEMBL519846	DB16407
CHEMBL157604	DB08767
CHEMBL1076257	DB12957
CHEMBL350320	DB04029
CHEMBL4594379	DB16683
CHEMBL95606	DB02097
CHEMBL593791	DB03479
CHEMBL1489254	DB16005
CHEMBL1230245	DB12575
CHEMBL383705	DB01884
CHEMBL549386	DB04106
CHEMBL1231778	DB04387
CHEMBL2103836	DB12105
CHEMBL1201341	DB01057
CHEMBL12315	DB04329
CHEMBL186422	DB04745
CHEMBL607712	DB07718
CHEMBL155625	DB12881
CHEMBL4297433	DB13058
CHEMBL1236802	DB13453
CHEMBL1689069	DB20296
CHEMBL2110657	DB21430
CHEMBL285852	DB21102
CHEMBL1256871	DB21119
CHEMBL1555183	DB21260
CHEMBL2104572	DB20184
CHEMBL2104353	DB20126
CHEMBL460283	DB20616
CHEMBL2105215	DB20871
CHEMBL348251	DB21011
CHEMBL448416	DB21098
CHEMBL2105198	DB20146
CHEMBL1968696	DB21022
CHEMBL153427	DB21270
CHEMBL2104132	DB20439
CHEMBL1968544	DB21350
CHEMBL277465	DB19482
CHEMBL26291	DB20165
CHEMBL493682	DB21277
CHEMBL94192	DB20388
CHEMBL1442660	DB20701
CHEMBL2104540	DB21320
CHEMBL27507	DB21404
CHEMBL2110882	DB20987
CHEMBL3142543	DB21145
CHEMBL457157	DB20445
CHEMBL92444	DB21414
CHEMBL2110671	DB20627
CHEMBL2104733	DB20283
CHEMBL26820	DB20766
CHEMBL1886986	DB21133
CHEMBL1243298	DB19735
CHEMBL278570	DB20934
CHEMBL2104655	DB21406
CHEMBL122079	DB20533
CHEMBL284907	DB20979
CHEMBL167055	DB20402
CHEMBL2110640	DB19540
CHEMBL290507	DB20441
CHEMBL2110755	DB20150
CHEMBL3989771	DB20662
CHEMBL2107262	DB21434
CHEMBL2107652	DB20904
CHEMBL2104618	DB21108
CHEMBL3989838	DB20347
CHEMBL95804	DB19538
CHEMBL2105197	DB20917
CHEMBL2104259	DB21242
CHEMBL24955	DB19798
CHEMBL2106774	DB20436
CHEMBL2104201	DB21142
CHEMBL2104651	DB21112
CHEMBL289832	DB19864
CHEMBL2104565	DB19938
