Purple Book Monthly Historical Data Changes Report - June 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newly Approved Products (N)  / Products Added in Current Release (R) / Updated Products (U),,,,,,,,,,,,,,,,,,,,,,,,,,,
N/R/U,Applicant,BLA Number,Proprietary Name,Proper Name,License Type,Strength,Dosage Form,Route of Administration,Product Presentation,Marketing Status,Licensure,Approval Date,Inter. Approval Date,Ref. Product Proper Name,Ref. Product Proprietary Name,Supplement Number,Submission Type,Inter. Supplement Number,License Number,Product Number,Center,Date of First Licensure,Exclusivity Expiration Date,First Interchangeable Exclusivity Exp. Date,Ref. Product Exclusivity Exp. Date,Orphan Exclusivity Exp. Date,Patent List Provided
,Grifols Therapeutics LLC,101140,Plasmanate,Plasma Protein Fraction (Human),351(a),25G/500ML,Injection,Intravenous,Single-Dose Vial,Disc,Licensed,2-Oct-58,, ,,0,Original,,1871,001,CBER,,,,,,
,Grifols Therapeutics LLC,101140,Plasmanate,Plasma Protein Fraction (Human),351(a),2.5G/50ML,Injection,Intravenous,Single-Dose Vial,Disc,Licensed,2-Oct-58,, ,,0,Original,,1871,002,CBER,,,,,,
,Grifols Therapeutics LLC,101140,Plasmanate,Plasma Protein Fraction (Human),351(a),12.5G/250ML,Injection,Intravenous,Single-Dose Vial,Rx,Licensed,2-Oct-58,, ,,0,Original,,1871,003,CBER,,,,,,
,Grifols Therapeutics LLC,101141,"Bayrho-D, Hyprho-D, Hyperrho S/D Full Dose, Hyperrho S/D Mini-Dose",Rho(D) Immune Globulin (Human),351(a),1500IU,Injection,Intramuscular,Pre-Filled Syringe,Rx,Licensed,11-Jun-71,, ,,0,Original,,1871,001,CBER,,,,,,
,Grifols Therapeutics LLC,101141,"Bayrho-D, Hyprho-D, Hyperrho S/D Full Dose, Hyperrho S/D Mini-Dose",Rho(D) Immune Globulin (Human),351(a),250IU,Injection,Intramuscular,Pre-Filled Syringe,Rx,Licensed,11-Jun-71,, ,,0,Original,,1871,002,CBER,,,,,,
,Grifols Therapeutics LLC,101142,"Baytet, Hypertet",Tetanus Immune Globulin (Human),351(a),250U,Injection,Intramuscular,Pre-Filled Syringe,Rx,Licensed,17-Oct-57,, ,,0,Original,,1871,001,CBER,,,,,,
,Grifols Therapeutics LLC,101144,"Bayrab, Hyperrab",Rabies Immune Globulin (Human),351(a),300IU/ML,Injection,Intramuscular,Single-Dose Vial,Rx,Licensed,12-Jun-74,, ,,0,Original,,1871,001,CBER,,,,,,
,Grifols Therapeutics LLC,101144,"Bayrab, Hyperrab",Rabies Immune Globulin (Human),351(a),1500IU/5 ML,Injection,Intramuscular,Single-Dose Vial,Rx,Licensed,12-Jun-74,, ,,0,Original,,1871,002,CBER,,,,,,
,Grifols Therapeutics LLC,101144,"Bayrab,Hyperrab",Rabies Immune Globulin (Human),351(a),900 IU/ 3ML,Injection,Intramuscular,Single-Dose Vial,Rx,Licensed,6-Nov-19,, ,,5817,Supplement,,1871,003,CBER,,,,,,
,Grifols Therapeutics LLC,101146,"Bayhep B, Hyperhep B S/D",Hepatitis B Immune Globulin (Human),351(a),220U/ML,Injection,Intramuscular,Pre-Filled Syringe,Rx,Licensed,23-Sep-77,, ,,0,Original,,1871,001,CBER,,,,,,
,Grifols Therapeutics LLC,101146,"Bayhep B, Hyperhep B S/D",Hepatitis B Immune Globulin (Human),351(a),220U/ML,Injection,Intramuscular,Single-Dose Vial,Rx,Licensed,23-Sep-77,, ,,0,Original,,1871,002,CBER,,,,,,
,Grifols Therapeutics LLC,101146,"Bayhep B, Hyperhep B S/D",Hepatitis B Immune Globulin (Human),351(a),220U/.5ML,Injection,Intramuscular,Pre-Filled Syringe,Rx,Licensed,23-Sep-77,, ,,0,Original,,1871,003,CBER,,,,,,
,Grifols Therapeutics LLC,101146,"Bayhep B, Hyperhep B S/D",Hepatitis B Immune Globulin (Human),351(a),220U/.5ML,Injection,Intramuscular,Single-Dose Vial,Rx,Licensed,23-Sep-77,, ,,0,Original,,1871,004,CBER,,,,,,
,Grifols Therapeutics LLC,101146,"Bayhep B, Hyperhep B S/D",Hepatitis B Immune Globulin (Human),351(a),220IU/5ML,Injection,Intramuscular,Single-Dose Vial,Rx,Licensed,23-Sep-77,, ,,0,Original,,1871,005,CBER,,,,,,
,Grifols Therapeutics LLC,101147,Gamimune,Immune Globulin Intravenous (Human),351(a),5PCT,Injection,Intravenous,Vial,Disc,Voluntarily Revoked,11-Sep-81,, ,,0,Original,,1871,001,CBER,,,,,,
,Grifols Therapeutics LLC,101147,Gamimune,Immune Globulin Intravenous (Human),351(a),10PCT,Injection,Intravenous,Vial,Disc,Voluntarily Revoked,11-Sep-81,, ,,0,Original,,1871,002,CBER,,,,,,
,"Recordati Rare Diseases, Inc.",101246,Panhematin,Hemin for Injection,351(a),350MG,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,20-Jul-83,, ,,5350,Supplement,,1899,001,CBER,,,,,20-Jul-90,
,MassBiologics,101322,Tdvax,Tetanus and Diphtheria Toxoids Adsorbed,351(a),0.5ML,Injection,Intramuscular,Single-Dose Vial,Disc,Licensed,27-Jul-70,, ,,0,Original,,1779,001,CBER,,,,,,
,"Allergy Laboratories, Inc.",101377,N/A,"Insects (Whole Body), Mite Dermatophagoides farinae",351(a),"10,000AU/ML",Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked,11-Jul-30,, ,,0,Original,,0103,001,CBER,,,,,,
,"Allergy Laboratories, Inc.",101377,N/A,"Insects (Whole Body), Mite Dermatophagoides farinae",351(a),"10,000AU/ML",Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked,11-Jul-30,, ,,0,Original,,0103,002,CBER,,,,,,
,"Allergy Laboratories, Inc.",101378,N/A,"Insects (Whole Body), Mite Dermatophagoides pteronyssinus",351(a),"10,000AU/ML",Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked,11-Jul-30,, ,,0,Original,,0103,001,CBER,,,,,,
,"Allergy Laboratories, Inc.",101378,N/A,"Insects (Whole Body), Mite Dermatophagoides pteronyssinus",351(a),"10,000AU/ML",Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked,11-Jul-30,, ,,0,Original,,0103,002,CBER,,,,,,
,"Allergy Laboratories, Inc.",101379,N/A,"Pollens - Grasses, Bermuda Grass Cynodon dactylon",351(a),"10,000BAU/ML",Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked,14-Jun-30,, ,,0,Original,,0103,001,CBER,,,,,,
,"Allergy Laboratories, Inc.",101379,N/A,"Pollens - Grasses, Bermuda Grass Cynodon dactylon",351(a),"10,000BAU/ML",Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked,14-Jun-30,, ,,0,Original,,0103,002,CBER,,,,,,
